block,plot,treatment,Litterc,Deadc,AstPilc,PoaPrac,AndGerc,TarOffc,TriRepc,TriPrac,OxaEurc,BroInec,SolCanc,MonFitc,CirArvc,LesCapc,DauCarc,ChaFasc,VioPedc,SilLacc,PasSatc,LacSpc,BidSpc,AmbArtc,SchScoc,RatPinc,SolGigc,SetGlac,PhaAruc,CarSpc,EchPalc,ElyCanc,SilIntc,SolRigc,OenBiec,SorNutc,HelGroc,MuhSpc,HelRigc,GauBiec,VerStrc,MtMintc,MelAlbc,VerGigc,LacLudc,PlaMajc,PlaLanc,DacGloc,PhlePrac,AchMilc,LotCorc,Litter1,Dead1,AstPil1,PoaPra1,AndGer1,TarOff1,TriRep1,TriPra1,OxaEur1,BroIne1,SolCan1,MonFit1,CirArv1,LesCap1,DauCar1,ChaFas1,VioPed1,SilLac1,PasSat1,LacSp1,BidSp1,AmbArt1,SchSco1,RatPin1,SolGig1,SetGla1,PhaAru1,CarSp1,EchPal1,ElyCan1,SilInt1,SolRig1,OenBie1,SorNut1,HelGro1,MuhSp1,HelRig1,GauBie1,VerStr1,MtMint1,MelAlb1,VerGig1,LacLud1,PlaMaj1,PlaLan1,DacGlo1,PhlePra1,AchMil1,LotCor1,Litter2,Dead2,AstPil2,PoaPra2,AndGer2,TarOff2,TriRep2,TriPra2,OxaEur2,BroIne2,SolCan2,MonFit2,CirArv2,LesCap2,DauCar2,ChaFas2,VioPed2,SilLac2,PasSat2,LacSp2,BidSp2,AmbArt2,SchSco2,RatPin2,SolGig2,SetGla2,PhaAru2,CarSp2,EchPal2,ElyCan2,SilInt2,SolRig2,OenBie2,SorNut2,HelGro2,MuhSp2,HelRig2,GauBie2,VerStr2,MtMint2,MelAlb2,VerGig2,LacLud2,PlaMaj2,PlaLan2,DacGlo2,PhlePra2,AchMil2,LotCor2,grazed,mixc,mix1,mix2,enhance1,enhance2
38,C,C,156.4,71.8,0,22.2,65.9,0.0207,0,0.3284,0,18.8,66.2,0.0824,0,0,0.2022,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4833,0,0,0,0.3837,0,0,0.3728,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,2.3181,62.3,0,0,0,0,12.1,0,7.7,0,0,0.6321,3.9,0,0,0,0,0,0,0,0.0588,0,0,0,0,0,1.3402,0,0,0,20.8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,28.3,1.4,8,85.4,0,0,0,0,0,0,0,0,0.2708,0.0057,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2456,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nongra,3.6824,12.6588,2.3708,1.234787912,-0.440337263
38,R,C,183.5,26.6,3,0.6048,94.6,0,0,0,0,0.0172,0.0443,0,0,0,0.0361,5.4,0,0,0.0534,0,0,0,0,0,0,0,0,0,0,11.5,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.4,0,17.7,41.4,0,0,0.2774,0,2.3,1.4,0,0.0214,0,0.1285,0.7,0,0,0,0,0,0,37.2,0,0,0,0,0.6,0,3.4,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8,0,22.2,107.5,0.0191,0,0.1428,0,12.9,0,0,0,0.1236,0.5774,0.6274,0,0,0.2781,0,0,0,0,0,0,0,0,0,0.0325,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,6.4,1.7,1.7835,-1.325669739,-1.277720265
39,L,C,150.3,64.8,0,0,21.6,0.0511,0,0,0,0,0,0,0,0,0.0245,0,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.2,0,0.4,19.1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2,0,244.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,3.5,3.6,147.8,0.0091,0,0.4051,0,1.3,0,0.891,0.1642,7,10.9,0,0,0,0,0,0,0.1811,0,1.2892,0,0,0,0.1135,0,0.1679,0,0,0,0,0.3472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1,1,10.1802,0,2.3204446573
39,C,C,246.8,60.5,0.0102,0,151.6,0,0,0,0,35.5,0,0,0.0704,0,0.1222,0,0,0,0.2077,0,0.6481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.3,0,0,142.2,0.05,0,0,0,51.9,0.0632,0,0.0519,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,145.7,0.8,0,144,0.0179,0,0,0,0,0,0,0,2.9,0.0174,0,0,0,0.0094,0,0.0858,0,0,0,13.4,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nongra,1,3.3,3.9,1.1939224685,1.3609765531
39,R,C,36.7,86.1,1.6,9.8,80.7,0.1561,0,0,0.0376,15.3,0,0,0,0,0.0059,0,0,0,0,0,0.0026,0,0,0,0,0,17.6,0,0,0,0,0,0,1.8,0,0,22.1,0,0,0,0,0,0,0,0,0,0,0,0,0,94.4,15.9,11.4,43.6,0.0918,0,0,0,17.7,0,1.8,2,0.2479,0,0.0554,0,0,0.0195,0,0.4084,0,0,0,0,0,0,0.4051,0,0,0,0,0,17.7,0,0,17.2,0,0,0,0,0,0,0,0,0,0,17.8,0,0,101.8,12.7,3.8,104.3,0.2088,0,0,0,2.5,0,0,0.037,5.3,0,0,0,0,0,0.6792,0,0.0556,0,0,0,0,0,0.126,0,0.3078,0.1672,0,0,4.5,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1,3.1033,6.3,1.1324660614,1.8405496334
48,L,C,5.8,6.1,1.4,0,0,0,0,0,0,0,0.1249,0,0,0,0.0226,0.0996,0,0,0,0,0,0,0.2737,0,0,0,0,0,0,0.2631,0,0,0,40.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,2,0,24,0.1004,0,0,0,0,0,8.6,0,0.7862,0.4947,0.9801,0,0,0,0,0,0.0407,0,0,0,0,0,0,0,0.9034,0,0,0,88.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,2.7,0,0.5,0,0,0,0,0,1.7,0,0,15,0.2123,0.5,0,0,0,0,0,0.1023,0,0,0,0,0,0,0.0372,0.5,0,0,0,48.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1.0996,11.3663,16.5372,2.3357063597,2.7106659114
48,C,C,0,8.8,0.503,0,70.5,0,0,0,0,0,0,0,0,0,0.3239,0,0,0,0,0,0,0.0681,0,0,0,0,0,0,0,0.2903,0,0,0,65.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9,0,8.9,36.2,0,0,0,0,0,0,2.3,0,0.2412,0.2024,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8903,0,0,0,94.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,12.7,0.2475,0,27.2,0,0,0,0,0,0,0,0,4.8377,0.1611,4.9,0,0,0,0,0,0.0108,0,0,0,0,0,0,0,3.5,0,0,0,126.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nongra,1,4.8412,10.7377,1.5771626239,2.3737609134
48,R,C,0,5.1,1.6,0,23.2,0.0342,0,0,0,0,0,0,0.0745,0,0.2032,0.29,0,0,0,0,0,0.0654,0,0,0,0,0,0,0,0.0068,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3,0.5118,0,23.5,0.0147,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0.2723,0,0,0,0,0,0,0,1.2189,0,0,0,51.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.9287,8.6,0,0,0.2012,0,0,0,0,0,20.1,14.3,0.2908,0,0,0,0,0.0321,0,0,0,0,0,0,0,0.0609,1.2,0,0,0,78.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1.29,1,21.4517,-0.254642218,2.8111616779
49,L,C,137.7,0,0.3051,0,67.8,0.0898,0,0,0,3.2,0,0,0,0,0.5681,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1868,0,0,0,0.3115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.9,0,0,64.3,0.0357,0,0,0,0,28.5,11.5,0,0.364,0.0632,0.3187,0,0,0,0.5482,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0.0959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,0,0,50.4,0.0466,0,0,0,0,6.9,0.7047,0,4.8,3.2,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0.551,0.1967,0,0,0,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,grazed,2.3,13.1827,16.4557,1.745996241,1.9677627988
49,C,C,77.6,29.1,3,1.1,44.5,0,0,0,0,0,0,0,0,0,0.2204,0,0,0,0,0,0.0695,0,0,0,0,0,0,0,0,3.4,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.5,1.9,0.1044,55.9,0.3,0,0,0,0,0,0,0,0.3238,0.5184,0,0,0,0,0,0,0,0,0,9.6,0,0,0,0,0.8,0,0,0,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.9,3,1.5467,44.2,0,0,0,0,0,0,0.3847,0,2.5,2.1,2.1538,0.0077,0,0,0,0,0,0,0.4922,0,0,0,0,0,0.6643,0,0,0,13.1,0,0,0.0453,0,0,0,0,0,0,0,0,0,0,0,0,nongra,1,1.3238,6.5307,0.2805063887,1.8765141351
49,R,C,103.4,69.9,1.4598,0.0296,4.2,0,0.0336,0.2172,0,0.1757,0,0,0,0,0.0226,0.0236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0073,0,0,0,0.4602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.8,0.3427,0,15.5,0.1264,0.1117,0,0,0,0.0521,22.1,0,21,7.5,2.9,0,0,0.003,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,16,0,0,0.9959,0,0,0,0,0,0,0,0,0,0,0,0,0,44.6,3.4,0,14.4,0,0,0,0,0.0377,6.3,0.9012,0,25.5,7.6,16,0,0,0,1.0614,0,0,0,0.2784,0,0,0,0,0.2194,1.4,0,0,0,9.9,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,grazed,1.0236,47,43.899,3.8268217764,3.7585657155
