Site,Type,Treatment,Season,Day,Species
3,Short grassland,Ungrazed,Wet,1,Cypella herbertii
3,Short grassland,Grazed,Wet,1,Steinchisma laxum
3,Short grassland,Grazed,Wet,1,Fimbristylis dichotoma
3,Short grassland,Grazed,Wet,1,Richardia stellaris
3,Short grassland,Grazed,Wet,1,Oxalis hispidula
3,Short grassland,Grazed,Wet,1,Evolvulus sericeus
3,Short grassland,Grazed,Wet,1,Axonopus fissifolius
3,Short grassland,Grazed,Wet,1,Sida spinosa
3,Short grassland,Grazed,Wet,1,Cyperus virens
3,Short grassland,Grazed,Wet,1,Eragrostis airoides
3,Short grassland,Grazed,Wet,1,Ophioglossum nudicaule
3,Short grassland,Grazed,Wet,1,Nothoscordum inodorum
3,Short grassland,Grazed,Wet,1,Melochia pyramidata
3,Medium-tall grassland,Ungrazed,Wet,1,Paspalum plicatulum
3,Medium-tall grassland,Ungrazed,Wet,1,Oxalis hispidula
3,Medium-tall grassland,Ungrazed,Wet,1,Cyperus virens
3,Medium-tall grassland,Ungrazed,Wet,1,Pterocaulon discolor
3,Medium-tall grassland,Ungrazed,Wet,1,Eragrostis sp.
3,Medium-tall grassland,Ungrazed,Wet,1,Turnera sidoides
3,Medium-tall grassland,Ungrazed,Wet,1,Eragrostis bahiensis
3,Medium-tall grassland,Ungrazed,Wet,1,Steinchisma laxum
3,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
3,Medium-tall grassland,Grazed,Wet,1,Oxalis hispidula
3,Medium-tall grassland,Grazed,Wet,1,Axonopus fissifolius
3,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
3,Medium-tall grassland,Grazed,Wet,1,Steinchisma laxum
3,Medium-tall grassland,Grazed,Wet,1,Eragrostis cilianensis
3,Medium-tall grassland,Grazed,Wet,1,Sporobolus indicus
3,Medium-tall grassland,Grazed,Wet,1,Fimbristylis dichotoma
3,Medium-tall grassland,Grazed,Wet,1,Cyperus virens
3,Medium-tall grassland,Grazed,Wet,1,Turnera sidoides
3,Medium-tall grassland,Grazed,Wet,1,Nothoscordum inodorum
3,Medium-tall grassland,Grazed,Wet,1,Cyperus aggregatus
3,Medium-tall grassland,Grazed,Wet,1,Melochia pyramidata
3,Medium-tall grassland,Grazed,Wet,1,Zornia crinita
3,Tall grassland,Ungrazed,Wet,1,Aristida jubata
3,Tall grassland,Ungrazed,Wet,1,Mitracarpus megapotamicus
3,Tall grassland,Ungrazed,Wet,1,Eragrostis bahiensis
3,Tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
3,Tall grassland,Ungrazed,Wet,1,Pterocaulon alopecuroides
3,Tall grassland,Ungrazed,Wet,1,Cyperus virens
3,Tall grassland,Ungrazed,Wet,1,Neptunia pubescens
3,Tall grassland,Grazed,Wet,1,Neptunia pubescens
3,Tall grassland,Grazed,Wet,1,Aristida jubata
3,Tall grassland,Grazed,Wet,1,Nothoscordum inodorum
3,Tall grassland,Grazed,Wet,1,Setaria parviflora
3,Tall grassland,Grazed,Wet,1,Cyperus virens
3,Tall grassland,Grazed,Wet,1,Evolvulus sericeus
3,Tall grassland,Grazed,Wet,1,Gamochaeta coarctata
4,Short grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
4,Short grassland,Ungrazed,Wet,1,Paspalum almum
4,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
4,Short grassland,Ungrazed,Wet,1,Evolvulus sericeus
4,Short grassland,Ungrazed,Wet,1,Desmodium incanum
4,Short grassland,Grazed,Wet,1,Oxalis conorrhiza
4,Short grassland,Grazed,Wet,1,Paspalum almum
4,Short grassland,Grazed,Wet,1,Vernonia incana
4,Short grassland,Grazed,Wet,1,Juncus microcephalus
4,Short grassland,Grazed,Wet,1,Mimosa 2
4,Short grassland,Grazed,Wet,1,Evolvulus sericeus
4,Short grassland,Grazed,Wet,1,Kyllinga brevifolia
4,Short grassland,Grazed,Wet,1,Adesmia incana
4,Short grassland,Grazed,Wet,1,Eleusine tristachya
4,Short grassland,Grazed,Wet,1,Cyperus virens
4,Medium-tall grassland,Ungrazed,Wet,1,Oxalis hispidula
4,Medium-tall grassland,Ungrazed,Wet,1,Paspalum almum
4,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
4,Medium-tall grassland,Ungrazed,Wet,1,Cyperus virens
4,Medium-tall grassland,Ungrazed,Wet,1,Scutellaria racemosa
4,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
4,Medium-tall grassland,Grazed,Wet,1,Oxalis conorrhiza
4,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
4,Medium-tall grassland,Grazed,Wet,1,Cyperus virens
4,Medium-tall grassland,Grazed,Wet,1,Nothoscordum inodorum
4,Medium-tall grassland,Grazed,Wet,1,Polygala molluginifolia
4,Tall grassland,Ungrazed,Wet,1,Chromolaena laevigata
4,Tall grassland,Ungrazed,Wet,1,Oxalis hispidula
4,Tall grassland,Ungrazed,Wet,1,Setaria parviflora
4,Tall grassland,Ungrazed,Wet,1,Paspalum almum
4,Tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
4,Tall grassland,Ungrazed,Wet,1,Cyperus virens
4,Tall grassland,Ungrazed,Wet,1,Paspalum plicatulum
4,Tall grassland,Ungrazed,Wet,1,Fimbristylis complanata
4,Tall grassland,Ungrazed,Wet,1,Evolvulus sericeus
4,Tall grassland,Grazed,Wet,1,Eragrostis bahiensis
4,Tall grassland,Grazed,Wet,1,Setaria parviflora
4,Tall grassland,Grazed,Wet,1,Chromolaena laevigata
4,Tall grassland,Grazed,Wet,1,Andropogon lateralis
4,Tall grassland,Grazed,Wet,1,Eleocharis montana
4,Tall grassland,Grazed,Wet,1,Oxalis sp.
4,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
5,Short grassland,Ungrazed,Wet,1,Paspalum dilatatum
5,Short grassland,Ungrazed,Wet,1,Evolvulus sericeus
5,Short grassland,Ungrazed,Wet,1,Melochia pyramidata
5,Short grassland,Ungrazed,Wet,1,Cuphea racemosa
5,Short grassland,Ungrazed,Wet,1,Croton
5,Short grassland,Ungrazed,Wet,1,Oxalis sp.
5,Short grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
5,Short grassland,Ungrazed,Wet,1,Pterocaulon sp.
5,Short grassland,Grazed,Wet,1,Nothoscordum inodorum
5,Short grassland,Grazed,Wet,1,Sida spinosa
5,Short grassland,Grazed,Wet,1,Pterocaulon sp.
5,Short grassland,Grazed,Wet,1,Paspalum dilatatum
5,Short grassland,Grazed,Wet,1,Oxalis sp.
5,Short grassland,Grazed,Wet,1,Conyza bonariensis
5,Short grassland,Grazed,Wet,1,Axonopus argentinus
5,Short grassland,Grazed,Wet,1,Sisyrinchium pachyrhizum
5,Short grassland,Grazed,Wet,1,Fimbristylis dichotoma
5,Short grassland,Grazed,Wet,1,Croton
5,Short grassland,Grazed,Wet,1,Eragrostis bahiensis
5,Medium-tall grassland,Ungrazed,Wet,1,Pterocaulon sp.
5,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
5,Medium-tall grassland,Ungrazed,Wet,1,Eupatorium sp.
5,Medium-tall grassland,Ungrazed,Wet,1,Oxalis sp.
5,Medium-tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
5,Medium-tall grassland,Ungrazed,Wet,1,Paspalum dilatatum
5,Medium-tall grassland,Ungrazed,Wet,1,Axonopus fissifolius
5,Medium-tall grassland,Ungrazed,Wet,1,Cuphea racemosa
5,Medium-tall grassland,Grazed,Wet,1,Steinchisma laxum
5,Medium-tall grassland,Grazed,Wet,1,Axonopus fissifolius
5,Medium-tall grassland,Grazed,Wet,1,Eleocharis montana
5,Medium-tall grassland,Grazed,Wet,1,Oxalis sp.
5,Medium-tall grassland,Grazed,Wet,1,Scoparia montevidensis
5,Medium-tall grassland,Grazed,Wet,1,Polygala molluginifolia
5,Medium-tall grassland,Grazed,Wet,1,Kyllinga brevifolia
5,Medium-tall grassland,Grazed,Wet,1,Sida sp.
5,Medium-tall grassland,Grazed,Wet,1,Porophyllum ruderale
5,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
5,Tall grassland,Ungrazed,Wet,1,Andropogon lateralis
5,Tall grassland,Ungrazed,Wet,1,Polygonum punctatum
5,Tall grassland,Ungrazed,Wet,1,Oxalis sp.
5,Tall grassland,Ungrazed,Wet,1,Scutellaria racemosa
5,Tall grassland,Ungrazed,Wet,1,Eupatorium sp.
5,Tall grassland,Grazed,Wet,1,Porophyllum ruderale
5,Tall grassland,Grazed,Wet,1,Andropogon lateralis
5,Tall grassland,Grazed,Wet,1,Oxalis sp.
6,Short grassland,Ungrazed,Wet,1,Setaria parviflora
6,Short grassland,Ungrazed,Wet,1,Oxalis hispidula
6,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
6,Short grassland,Ungrazed,Wet,1,Axonopus fissifolius
6,Short grassland,Ungrazed,Wet,1,Dichondra sericea
6,Short grassland,Ungrazed,Wet,1,Desmodium incanum
6,Short grassland,Ungrazed,Wet,1,Kyllinga brevifolia
6,Short grassland,Ungrazed,Wet,1,Eleusine tristachya
6,Short grassland,Ungrazed,Wet,1,Melochia pyramidata
6,Short grassland,Ungrazed,Wet,1,Cuphea racemosa
6,Short grassland,Ungrazed,Wet,1,Stachytarpheta cayennensis
6,Short grassland,Ungrazed,Wet,1,Gamochaeta americana
6,Short grassland,Grazed,Wet,1,Oxalis conorrhiza
6,Short grassland,Grazed,Wet,1,Paspalum almum
6,Short grassland,Grazed,Wet,1,Setaria parviflora
6,Short grassland,Grazed,Wet,1,Eragrostis bahiensis
6,Short grassland,Grazed,Wet,1,Sporobolus indicus
6,Short grassland,Grazed,Wet,1,Dichondra sericea
6,Short grassland,Grazed,Wet,1,Axonopus fissifolius
6,Short grassland,Grazed,Wet,1,Cuphea racemosa
6,Short grassland,Grazed,Wet,1,Conyza bonariensis
6,Medium-tall grassland,Ungrazed,Wet,1,Oxalis conorrhiza
6,Medium-tall grassland,Ungrazed,Wet,1,Paspalum almum
6,Medium-tall grassland,Ungrazed,Wet,1,Polygala molluginifolia
6,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
6,Medium-tall grassland,Ungrazed,Wet,1,Paspalum plicatulum
6,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
6,Medium-tall grassland,Ungrazed,Wet,1,Axonopus fissifolius
6,Medium-tall grassland,Ungrazed,Wet,1,Dichondra sericea
6,Medium-tall grassland,Ungrazed,Wet,1,Conyza bonariensis
6,Medium-tall grassland,Ungrazed,Wet,1,Evolvulus sericeus
6,Medium-tall grassland,Grazed,Wet,1,Kyllinga brevifolia
6,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
6,Medium-tall grassland,Grazed,Wet,1,Oxalis hispidula
6,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
6,Medium-tall grassland,Grazed,Wet,1,Dichondra sericea
6,Medium-tall grassland,Grazed,Wet,1,Pterocaulon sp.
6,Medium-tall grassland,Grazed,Wet,1,Fimbristylis dichotoma
6,Medium-tall grassland,Grazed,Wet,1,Sporobolus indicus
6,Medium-tall grassland,Grazed,Wet,1,Axonopus fissifolius
6,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
6,Tall grassland,Ungrazed,Wet,1,Rhynchospora scutellata
6,Tall grassland,Ungrazed,Wet,1,Macroptilium lathyroides
6,Tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
6,Tall grassland,Ungrazed,Wet,1,Oxalis sp.
6,Tall grassland,Ungrazed,Wet,1,Polygala molluginifolia
6,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
6,Tall grassland,Grazed,Wet,1,Setaria parviflora
6,Tall grassland,Grazed,Wet,1,Dolichandra cynanchoides
6,Tall grassland,Grazed,Wet,1,Mikania cordifolia
6,Tall grassland,Grazed,Wet,1,Steinchisma laxum
6,Tall grassland,Grazed,Wet,1,Adiantopsis chlorophylla
6,Tall grassland,Grazed,Wet,1,Oxalis sp.
6,Tall grassland,Grazed,Wet,1,Cyperus virens
6,Tall grassland,Grazed,Wet,1,Andropogon lateralis
7,Short grassland,Ungrazed,Wet,1,Pterocaulon sp.
7,Short grassland,Ungrazed,Wet,1,Desmodium incanum
7,Short grassland,Ungrazed,Wet,1,Oxalis sp.
7,Short grassland,Ungrazed,Wet,1,Paspalum almum
7,Short grassland,Ungrazed,Wet,1,Scutellaria racemosa
7,Short grassland,Ungrazed,Wet,1,Evolvulus sericeus
7,Short grassland,Ungrazed,Wet,1,Scoparia montevidensis
7,Short grassland,Ungrazed,Wet,1,Sida spinosa
7,Short grassland,Ungrazed,Wet,1,Neptunia pubescens
7,Short grassland,Grazed,Wet,1,Desmodium incanum
7,Short grassland,Grazed,Wet,1,Chaptalia nutans
7,Short grassland,Grazed,Wet,1,Cuphea racemosa
7,Short grassland,Grazed,Wet,1,Oxalis sp.
7,Short grassland,Grazed,Wet,1,Eustachys sp.
7,Short grassland,Grazed,Wet,1,Paspalum almum
7,Short grassland,Grazed,Wet,1,Cyperus virens
7,Short grassland,Grazed,Wet,1,Tripogandra glandulosa
7,Short grassland,Grazed,Wet,1,Chromolaena laevigata
7,Medium-tall grassland,Ungrazed,Wet,1,Mikania cordifolia
7,Medium-tall grassland,Ungrazed,Wet,1,Pterocaulon sp.
7,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
7,Medium-tall grassland,Ungrazed,Wet,1,Eleocharis montana
7,Medium-tall grassland,Ungrazed,Wet,1,Eustachys sp.
7,Medium-tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
7,Medium-tall grassland,Ungrazed,Wet,1,Desmodium incanum
7,Medium-tall grassland,Ungrazed,Wet,1,Eupatorium sp.
7,Medium-tall grassland,Ungrazed,Wet,1,Araujia angustifolia
7,Medium-tall grassland,Ungrazed,Wet,1,Hydrocotyle ranunculoides
7,Medium-tall grassland,Ungrazed,Wet,1,Neptunia pubescens
7,Medium-tall grassland,Grazed,Wet,1,Sida spinosa
7,Medium-tall grassland,Grazed,Wet,1,Sporobolus indicus
7,Medium-tall grassland,Grazed,Wet,1,Eupatorium sp.
7,Medium-tall grassland,Grazed,Wet,1,Desmodium incanum
7,Medium-tall grassland,Grazed,Wet,1,Verbena litoralis
7,Medium-tall grassland,Grazed,Wet,1,Pterocaulon sp.
7,Medium-tall grassland,Grazed,Wet,1,Scoparia montevidensis
7,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
7,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
7,Medium-tall grassland,Grazed,Wet,1,Eustachys sp.
7,Tall grassland,Ungrazed,Wet,1,Sida rhombifolia
7,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
7,Tall grassland,Ungrazed,Wet,1,Setaria parviflora
7,Tall grassland,Ungrazed,Wet,1,Dolichandra cynanchoides
7,Tall grassland,Ungrazed,Wet,1,Steinchisma laxum
7,Tall grassland,Ungrazed,Wet,1,Axonopus fissifolius
7,Tall grassland,Ungrazed,Wet,1,Marsilea ancylopoda
7,Tall grassland,Ungrazed,Wet,1,Oxalis sp.
7,Tall grassland,Ungrazed,Wet,1,Muehlenbeckia sagittifolia
7,Tall grassland,Ungrazed,Wet,1,Sida spinosa
7,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
7,Tall grassland,Grazed,Wet,1,Oxalis sp.
7,Tall grassland,Grazed,Wet,1,Marsilea ancylopoda
7,Tall grassland,Grazed,Wet,1,Eupatorium sp.
7,Tall grassland,Grazed,Wet,1,Setaria parviflora
7,Tall grassland,Grazed,Wet,1,Deyeuxia viridiflavescens
8,Short grassland,Ungrazed,Wet,1,Cyperus virens
8,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
8,Short grassland,Ungrazed,Wet,1,Nothoscordum inodorum
8,Short grassland,Ungrazed,Wet,1,Steinchisma laxum
8,Short grassland,Ungrazed,Wet,1,Cuphea glutinosa
8,Short grassland,Ungrazed,Wet,1,Axonopus fissifolius
8,Short grassland,Ungrazed,Wet,1,Paspalum almum
8,Short grassland,Ungrazed,Wet,1,Setaria parviflora
8,Short grassland,Grazed,Wet,1,Oxalis conorrhiza
8,Short grassland,Grazed,Wet,1,Cuphea glutinosa
8,Short grassland,Grazed,Wet,1,Axonopus fissifolius
8,Short grassland,Grazed,Wet,1,Setaria parviflora
8,Short grassland,Grazed,Wet,1,Fimbristylis dichotoma
8,Short grassland,Grazed,Wet,1,Cyperus virens
8,Short grassland,Grazed,Wet,1,Porophyllum ruderale
8,Short grassland,Grazed,Wet,1,Paspalum almum
8,Short grassland,Grazed,Wet,1,Scutellaria racemosa
8,Medium-tall grassland,Ungrazed,Wet,1,Cuphea racemosa
8,Medium-tall grassland,Ungrazed,Wet,1,Oxalis conorrhiza
8,Medium-tall grassland,Ungrazed,Wet,1,Paspalum almum
8,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
8,Medium-tall grassland,Ungrazed,Wet,1,Cyperus virens
8,Medium-tall grassland,Ungrazed,Wet,1,Sida spinosa
8,Medium-tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
8,Medium-tall grassland,Ungrazed,Wet,1,Dichondra sericea
8,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
8,Medium-tall grassland,Grazed,Wet,1,Cuphea racemosa
8,Medium-tall grassland,Grazed,Wet,1,Eragrostis bahiensis
8,Medium-tall grassland,Grazed,Wet,1,Oxalis hispidula
8,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
8,Medium-tall grassland,Grazed,Wet,1,Tripogandra glandulosa
8,Medium-tall grassland,Grazed,Wet,1,Steinchisma laxum
8,Medium-tall grassland,Grazed,Wet,1,Eleocharis viridans
8,Medium-tall grassland,Grazed,Wet,1,Dolichandra cynanchoides
8,Medium-tall grassland,Grazed,Wet,1,Paspalum almum
8,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
8,Tall grassland,Ungrazed,Wet,1,Dolichandra cynanchoides
8,Tall grassland,Ungrazed,Wet,1,Steinchisma laxum
8,Tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
8,Tall grassland,Ungrazed,Wet,1,Eragrostis bahiensis
8,Tall grassland,Ungrazed,Wet,1,Oxalis conorrhiza
8,Tall grassland,Grazed,Wet,1,Setaria parviflora
8,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
8,Tall grassland,Grazed,Wet,1,Eragrostis bahiensis
8,Tall grassland,Grazed,Wet,1,Oxalis conorrhiza
8,Tall grassland,Grazed,Wet,1,Dolichandra cynanchoides
8,Tall grassland,Grazed,Wet,1,Scoparia montevidensis
8,Tall grassland,Grazed,Wet,1,Macroptilium lathyroides
8,Tall grassland,Grazed,Wet,1,Cuphea racemosa
8,Tall grassland,Grazed,Wet,1,Desmodium incanum
9,Short grassland,Ungrazed,Wet,1,Fimbristylis autumnalis
9,Short grassland,Ungrazed,Wet,1,Desmodium incanum
9,Short grassland,Ungrazed,Wet,1,Rhynchospora robusta
9,Short grassland,Ungrazed,Wet,1,Paspalum plicatulum
9,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
9,Short grassland,Ungrazed,Wet,1,Axonopus fissifolius
9,Short grassland,Ungrazed,Wet,1,Steinchisma laxum
9,Short grassland,Grazed,Wet,1,Paspalum plicatulum
9,Short grassland,Grazed,Wet,1,Fimbristylis dichotoma
9,Short grassland,Grazed,Wet,1,Oxalis conorrhiza
9,Short grassland,Grazed,Wet,1,Axonopus fissifolius
9,Short grassland,Grazed,Wet,1,Evolvulus sericeus
9,Short grassland,Grazed,Wet,1,Rhynchospora robusta
9,Short grassland,Grazed,Wet,1,Elephantopus mollis
9,Medium-tall grassland,Ungrazed,Wet,1,Setaria parviflora
9,Medium-tall grassland,Ungrazed,Wet,1,Eragrostis cilianensis
9,Medium-tall grassland,Ungrazed,Wet,1,Cuphea racemosa
9,Medium-tall grassland,Ungrazed,Wet,1,Oxalis conorrhiza
9,Medium-tall grassland,Ungrazed,Wet,1,Sida rhombifolia
9,Medium-tall grassland,Ungrazed,Wet,1,Scoparia montevidensis
9,Medium-tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
9,Medium-tall grassland,Ungrazed,Wet,1,Rhynchospora robusta
9,Medium-tall grassland,Grazed,Wet,1,Setaria parviflora
9,Medium-tall grassland,Grazed,Wet,1,Scoparia montevidensis
9,Medium-tall grassland,Grazed,Wet,1,Oxalis conorrhiza
9,Medium-tall grassland,Grazed,Wet,1,Eupatorium inulifolium
9,Medium-tall grassland,Grazed,Wet,1,Fimbristylis dichotoma
9,Medium-tall grassland,Grazed,Wet,1,Chaptalia nutans
9,Medium-tall grassland,Grazed,Wet,1,Cuphea racemosa
9,Medium-tall grassland,Grazed,Wet,1,Rhynchospora scutellata
9,Tall grassland,Ungrazed,Wet,1,Sorghastrum setosum
9,Tall grassland,Ungrazed,Wet,1,Steinchisma laxum
9,Tall grassland,Ungrazed,Wet,1,Oxalis sp.
9,Tall grassland,Ungrazed,Wet,1,Fimbristylis dichotoma
9,Tall grassland,Ungrazed,Wet,1,Eleocharis viridans
9,Tall grassland,Ungrazed,Wet,1,Rhynchospora robusta
9,Tall grassland,Ungrazed,Wet,1,Araujia angustifolia
9,Tall grassland,Ungrazed,Wet,1,Eleocharis montana
9,Tall grassland,Ungrazed,Wet,1,Eupatorium inulifolium
9,Tall grassland,Ungrazed,Wet,1,Setaria parviflora
9,Tall grassland,Ungrazed,Wet,1,Smilax campestris
9,Tall grassland,Grazed,Wet,1,Sida rhombifolia
9,Tall grassland,Grazed,Wet,1,Sorghastrum setosum
9,Tall grassland,Grazed,Wet,1,Setaria parviflora
9,Tall grassland,Grazed,Wet,1,Eupatorium inulifolium
9,Tall grassland,Grazed,Wet,1,Cuphea racemosa
9,Tall grassland,Grazed,Wet,1,Steinchisma laxum
9,Tall grassland,Grazed,Wet,1,Fimbristylis dichotoma
9,Tall grassland,Grazed,Wet,1,Hydrocotyle ranunculoides
9,Tall grassland,Grazed,Wet,1,Pavonia sp.
9,Tall grassland,Grazed,Wet,1,Rhynchospora robusta
10,Short grassland,Ungrazed,Wet,1,Kyllinga brevifolia
10,Short grassland,Ungrazed,Wet,1,Oxalis hispidula
10,Short grassland,Ungrazed,Wet,1,Oxalis conorrhiza
10,Short grassland,Ungrazed,Wet,1,Evolvulus sericeus
10,Short grassland,Ungrazed,Wet,1,Paspalum plicatulum
10,Short grassland,Ungrazed,Wet,1,Cypella herbertii
10,Short grassland,Ungrazed,Wet,1,Desmodium incanum
