Site,Type,Treatment,Season,day,Biomass
4,Short grassland,Ungrazed,Wet,1,55.46118845250953
4,Short grassland,Ungrazed,Wet,1,83.24854408175474
4,Short grassland,Grazed,Wet,1,111.03589971099996
4,Short grassland,Grazed,Wet,1,111.03589971099996
4,Short grassland,Grazed,Wet,1,27.67383282326432
4,Short grassland,Grazed,Wet,1,194.39796659873537
4,Medium-tall grassland,Ungrazed,Wet,1,472.2715228911868
4,Medium-tall grassland,Ungrazed,Wet,1,694.5703679251483
4,Medium-tall grassland,Ungrazed,Wet,1,722.3577235543933
4,Medium-tall grassland,Ungrazed,Wet,1,722.3577235543933
4,Medium-tall grassland,Grazed,Wet,1,472.2715228911868
4,Medium-tall grassland,Grazed,Wet,1,416.6968116326966
4,Medium-tall grassland,Grazed,Wet,1,444.4841672619418
4,Medium-tall grassland,Grazed,Wet,1,750.1450791836385
4,Tall grassland,Ungrazed,Wet,1,750.1450791836385
4,Tall grassland,Ungrazed,Wet,1,750.1450791836385
4,Tall grassland,Ungrazed,Wet,1,1083.5933467345803
4,Tall grassland,Ungrazed,Wet,1,583.4209454081677
4,Tall grassland,Grazed,Wet,1,777.9324348128837
4,Tall grassland,Grazed,Wet,1,1305.8921917685416
4,Tall grassland,Grazed,Wet,1,777.9324348128837
4,Tall grassland,Grazed,Wet,1,750.1450791836385
5,Short grassland,Ungrazed,Wet,1,111.03589971099996
5,Short grassland,Ungrazed,Wet,1,83.24854408175474
5,Short grassland,Ungrazed,Wet,1,27.67383282326432
5,Short grassland,Ungrazed,Wet,1,83.24854408175474
5,Short grassland,Grazed,Wet,1,27.67383282326432
5,Short grassland,Grazed,Wet,1,111.03589971099996
5,Short grassland,Grazed,Wet,1,83.24854408175474
5,Short grassland,Grazed,Wet,1,-0.11352280598089237
5,Medium-tall grassland,Ungrazed,Wet,1,361.1221003742062
5,Medium-tall grassland,Ungrazed,Wet,1,583.4209454081677
5,Medium-tall grassland,Ungrazed,Wet,1,361.1221003742062
5,Medium-tall grassland,Ungrazed,Wet,1,388.9094560034514
5,Medium-tall grassland,Grazed,Wet,1,361.1221003742062
5,Medium-tall grassland,Grazed,Wet,1,166.61061096949015
5,Medium-tall grassland,Grazed,Wet,1,333.3347447449612
5,Medium-tall grassland,Grazed,Wet,1,416.6968116326966
5,Tall grassland,Ungrazed,Wet,1,1945.0013712411805
5,Tall grassland,Ungrazed,Wet,1,3084.282952040232
5,Tall grassland,Ungrazed,Wet,1,2528.5358394553286
5,Tall grassland,Ungrazed,Wet,1,2139.5128606458966
5,Tall grassland,Grazed,Wet,1,2861.9841070062703
5,Tall grassland,Grazed,Wet,1,2584.110550713819
5,Tall grassland,Grazed,Wet,1,2973.133529523251
5,Tall grassland,Grazed,Wet,1,1917.2140156119353
6,Short grassland,Ungrazed,Wet,1,1722.7025262072189
6,Short grassland,Ungrazed,Wet,1,1917.2140156119353
6,Short grassland,Ungrazed,Wet,1,1361.466903027032
6,Short grassland,Ungrazed,Wet,1,1750.489881836464
6,Short grassland,Grazed,Wet,1,27.67383282326432
6,Short grassland,Grazed,Wet,1,27.67383282326432
6,Short grassland,Grazed,Wet,1,27.67383282326432
6,Short grassland,Grazed,Wet,1,111.03589971099996
6,Medium-tall grassland,Ungrazed,Wet,1,833.5071460713739
6,Medium-tall grassland,Ungrazed,Wet,1,527.8462341496772
6,Medium-tall grassland,Ungrazed,Wet,1,361.1221003742062
6,Medium-tall grassland,Ungrazed,Wet,1,583.4209454081677
6,Medium-tall grassland,Grazed,Wet,1,194.39796659873537
6,Medium-tall grassland,Grazed,Wet,1,611.2083010374126
6,Medium-tall grassland,Grazed,Wet,1,527.8462341496772
6,Medium-tall grassland,Grazed,Wet,1,555.6335897789224
6,Tall grassland,Ungrazed,Wet,1,694.5703679251483
6,Tall grassland,Ungrazed,Wet,1,2334.0243500506126
6,Tall grassland,Ungrazed,Wet,1,1528.1910368025028
6,Tall grassland,Ungrazed,Wet,1,1889.4266599826901
6,Tall grassland,Grazed,Wet,1,750.1450791836385
6,Tall grassland,Grazed,Wet,1,750.1450791836385
6,Tall grassland,Grazed,Wet,1,2695.2599732307995
6,Tall grassland,Grazed,Wet,1,1861.639304353445
7,Short grassland,Ungrazed,Wet,1,27.67383282326432
7,Short grassland,Ungrazed,Wet,1,27.67383282326432
7,Short grassland,Ungrazed,Wet,1,55.46118845250953
7,Short grassland,Ungrazed,Wet,1,55.46118845250953
7,Short grassland,Grazed,Wet,1,83.24854408175474
7,Short grassland,Grazed,Wet,1,-0.11352280598089237
7,Short grassland,Grazed,Wet,1,55.46118845250953
7,Short grassland,Grazed,Wet,1,27.67383282326432
7,Medium-tall grassland,Ungrazed,Wet,1,166.61061096949015
7,Medium-tall grassland,Ungrazed,Wet,1,416.6968116326966
7,Medium-tall grassland,Ungrazed,Wet,1,249.97267785722556
7,Medium-tall grassland,Ungrazed,Wet,1,222.18532222798058
7,Medium-tall grassland,Grazed,Wet,1,638.9956566666579
7,Medium-tall grassland,Grazed,Wet,1,222.18532222798058
7,Medium-tall grassland,Grazed,Wet,1,194.39796659873537
7,Medium-tall grassland,Grazed,Wet,1,333.3347447449612
7,Tall grassland,Ungrazed,Wet,1,1361.466903027032
7,Tall grassland,Ungrazed,Wet,1,1028.01863547609
7,Tall grassland,Ungrazed,Wet,1,1611.5531036902385
7,Tall grassland,Ungrazed,Wet,1,1222.5301248808064
7,Tall grassland,Grazed,Wet,1,1250.3174805100512
7,Tall grassland,Grazed,Wet,1,694.5703679251483
7,Tall grassland,Grazed,Wet,1,1361.466903027032
7,Tall grassland,Grazed,Wet,1,249.97267785722556
8,Short grassland,Ungrazed,Wet,1,138.82325534024494
8,Short grassland,Ungrazed,Wet,1,83.24854408175474
8,Short grassland,Ungrazed,Wet,1,83.24854408175474
8,Short grassland,Ungrazed,Wet,1,166.61061096949015
8,Short grassland,Grazed,Wet,1,55.46118845250953
8,Short grassland,Grazed,Wet,1,83.24854408175474
8,Short grassland,Grazed,Wet,1,27.67383282326432
8,Short grassland,Grazed,Wet,1,194.39796659873537
8,Medium-tall grassland,Ungrazed,Wet,1,305.547389115716
8,Medium-tall grassland,Ungrazed,Wet,1,194.39796659873537
8,Medium-tall grassland,Ungrazed,Wet,1,472.2715228911868
8,Medium-tall grassland,Ungrazed,Wet,1,416.6968116326966
8,Medium-tall grassland,Grazed,Wet,1,277.7600334864708
8,Medium-tall grassland,Grazed,Wet,1,166.61061096949015
8,Medium-tall grassland,Grazed,Wet,1,194.39796659873537
8,Medium-tall grassland,Grazed,Wet,1,166.61061096949015
8,Tall grassland,Ungrazed,Wet,1,2139.5128606458966
8,Tall grassland,Ungrazed,Wet,1,2917.5588182647607
8,Tall grassland,Ungrazed,Wet,1,2361.811705679858
8,Tall grassland,Ungrazed,Wet,1,2083.938149387406
8,Tall grassland,Grazed,Wet,1,1722.7025262072189
8,Tall grassland,Grazed,Wet,1,1917.2140156119353
8,Tall grassland,Grazed,Wet,1,1361.466903027032
8,Tall grassland,Grazed,Wet,1,1750.489881836464
9,Short grassland,Ungrazed,Wet,1,111.03589971099996
9,Short grassland,Ungrazed,Wet,1,138.82325534024494
9,Short grassland,Ungrazed,Wet,1,55.46118845250953
9,Short grassland,Ungrazed,Wet,1,111.03589971099996
9,Short grassland,Grazed,Wet,1,111.03589971099996
9,Short grassland,Grazed,Wet,1,55.46118845250953
9,Short grassland,Grazed,Wet,1,83.24854408175474
9,Short grassland,Grazed,Wet,1,27.67383282326432
9,Medium-tall grassland,Ungrazed,Wet,1,277.7600334864708
9,Medium-tall grassland,Ungrazed,Wet,1,249.97267785722556
9,Medium-tall grassland,Ungrazed,Wet,1,333.3347447449612
9,Medium-tall grassland,Ungrazed,Wet,1,361.1221003742062
9,Medium-tall grassland,Grazed,Wet,1,277.7600334864708
9,Medium-tall grassland,Grazed,Wet,1,305.547389115716
9,Medium-tall grassland,Grazed,Wet,1,305.547389115716
9,Medium-tall grassland,Grazed,Wet,1,472.2715228911868
9,Tall grassland,Ungrazed,Wet,1,1694.915170577974
9,Tall grassland,Ungrazed,Wet,1,2195.0875719043866
9,Tall grassland,Ungrazed,Wet,1,1555.978392431748
9,Tall grassland,Ungrazed,Wet,1,1583.7657480609932
9,Tall grassland,Grazed,Wet,1,1250.3174805100512
9,Tall grassland,Grazed,Wet,1,750.1450791836385
9,Tall grassland,Grazed,Wet,1,2111.7255050166514
9,Tall grassland,Grazed,Wet,1,1083.5933467345803
10,Short grassland,Ungrazed,Wet,1,55.46118845250953
10,Short grassland,Ungrazed,Wet,1,83.24854408175474
10,Short grassland,Ungrazed,Wet,1,111.03589971099996
10,Short grassland,Ungrazed,Wet,1,83.24854408175474
10,Short grassland,Grazed,Wet,1,27.67383282326432
10,Short grassland,Grazed,Wet,1,27.67383282326432
10,Short grassland,Grazed,Wet,1,55.46118845250953
10,Short grassland,Grazed,Wet,1,194.39796659873537
10,Medium-tall grassland,Ungrazed,Wet,1,305.547389115716
10,Medium-tall grassland,Ungrazed,Wet,1,416.6968116326966
10,Medium-tall grassland,Ungrazed,Wet,1,249.97267785722556
10,Medium-tall grassland,Ungrazed,Wet,1,194.39796659873537
10,Medium-tall grassland,Grazed,Wet,1,249.97267785722556
10,Medium-tall grassland,Grazed,Wet,1,305.547389115716
10,Medium-tall grassland,Grazed,Wet,1,638.9956566666579
10,Medium-tall grassland,Grazed,Wet,1,416.6968116326966
10,Tall grassland,Ungrazed,Wet,1,750.1450791836385
10,Tall grassland,Ungrazed,Wet,1,1500.4036811732576
10,Tall grassland,Ungrazed,Wet,1,750.1450791836385
10,Tall grassland,Ungrazed,Wet,1,444.4841672619418
10,Tall grassland,Grazed,Wet,1,1750.489881836464
10,Tall grassland,Grazed,Wet,1,527.8462341496772
10,Tall grassland,Grazed,Wet,1,1500.4036811732576
10,Tall grassland,Grazed,Wet,1,833.5071460713739
1,Short grassland,Ungrazed,Dry,2,138.82325534024494
1,Short grassland,Ungrazed,Dry,2,138.82325534024494
1,Short grassland,Ungrazed,Dry,2,83.24854408175474
1,Short grassland,Ungrazed,Dry,2,83.24854408175474
1,Short grassland,Grazed,Dry,2,83.24854408175474
1,Short grassland,Grazed,Dry,2,138.82325534024494
1,Short grassland,Grazed,Dry,2,138.82325534024494
1,Short grassland,Grazed,Dry,2,138.82325534024494
1,Medium-tall grassland,Ungrazed,Dry,2,527.8462341496772
1,Medium-tall grassland,Ungrazed,Dry,2,638.9956566666579
1,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
1,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
1,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
1,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
1,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
1,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
1,Tall grassland,Ungrazed,Dry,2,1528.1910368025028
1,Tall grassland,Ungrazed,Dry,2,1750.489881836464
1,Tall grassland,Ungrazed,Dry,2,2361.811705679858
1,Tall grassland,Ungrazed,Dry,2,1861.639304353445
1,Tall grassland,Grazed,Dry,2,1361.466903027032
1,Tall grassland,Grazed,Dry,2,1583.7657480609932
1,Tall grassland,Grazed,Dry,2,1305.8921917685416
1,Tall grassland,Grazed,Dry,2,2083.938149387406
2,Short grassland,Ungrazed,Dry,2,138.82325534024494
2,Short grassland,Ungrazed,Dry,2,305.547389115716
2,Short grassland,Ungrazed,Dry,2,249.97267785722556
2,Short grassland,Ungrazed,Dry,2,138.82325534024494
2,Short grassland,Grazed,Dry,2,83.24854408175474
2,Short grassland,Grazed,Dry,2,83.24854408175474
2,Short grassland,Grazed,Dry,2,27.67383282326432
2,Short grassland,Grazed,Dry,2,27.67383282326432
2,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
2,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
2,Medium-tall grassland,Ungrazed,Dry,2,527.8462341496772
2,Medium-tall grassland,Ungrazed,Dry,2,583.4209454081677
2,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
2,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
2,Medium-tall grassland,Grazed,Dry,2,83.24854408175474
2,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
2,Tall grassland,Ungrazed,Dry,2,2250.662283162877
2,Tall grassland,Ungrazed,Dry,2,2472.961128196838
2,Tall grassland,Ungrazed,Dry,2,750.1450791836385
2,Tall grassland,Ungrazed,Dry,2,750.1450791836385
2,Tall grassland,Grazed,Dry,2,3751.1794871421152
2,Tall grassland,Grazed,Dry,2,2528.5358394553286
2,Tall grassland,Grazed,Dry,2,3195.432374557213
2,Tall grassland,Grazed,Dry,2,1861.639304353445
3,Short grassland,Ungrazed,Dry,2,83.24854408175474
3,Short grassland,Ungrazed,Dry,2,138.82325534024494
3,Short grassland,Ungrazed,Dry,2,-27.900878435225877
3,Short grassland,Ungrazed,Dry,2,27.67383282326432
3,Short grassland,Grazed,Dry,2,27.67383282326432
3,Short grassland,Grazed,Dry,2,-27.900878435225877
3,Short grassland,Grazed,Dry,2,-27.900878435225877
3,Short grassland,Grazed,Dry,2,27.67383282326432
3,Medium-tall grassland,Ungrazed,Dry,2,83.24854408175474
3,Medium-tall grassland,Ungrazed,Dry,2,83.24854408175474
3,Medium-tall grassland,Ungrazed,Dry,2,83.24854408175474
3,Medium-tall grassland,Ungrazed,Dry,2,83.24854408175474
3,Medium-tall grassland,Grazed,Dry,2,83.24854408175474
3,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
3,Medium-tall grassland,Grazed,Dry,2,27.67383282326432
3,Medium-tall grassland,Grazed,Dry,2,83.24854408175474
3,Tall grassland,Ungrazed,Dry,2,305.547389115716
3,Tall grassland,Ungrazed,Dry,2,249.97267785722556
3,Tall grassland,Ungrazed,Dry,2,249.97267785722556
3,Tall grassland,Ungrazed,Dry,2,416.6968116326966
3,Tall grassland,Grazed,Dry,2,472.2715228911868
3,Tall grassland,Grazed,Dry,2,305.547389115716
3,Tall grassland,Grazed,Dry,2,305.547389115716
3,Tall grassland,Grazed,Dry,2,249.97267785722556
4,Short grassland,Ungrazed,Dry,2,194.39796659873537
4,Short grassland,Ungrazed,Dry,2,305.547389115716
4,Short grassland,Ungrazed,Dry,2,249.97267785722556
4,Short grassland,Ungrazed,Dry,2,249.97267785722556
4,Short grassland,Grazed,Dry,2,-27.900878435225877
4,Short grassland,Grazed,Dry,2,27.67383282326432
4,Short grassland,Grazed,Dry,2,-27.900878435225877
4,Short grassland,Grazed,Dry,2,27.67383282326432
4,Medium-tall grassland,Ungrazed,Dry,2,583.4209454081677
4,Medium-tall grassland,Ungrazed,Dry,2,527.8462341496772
4,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
4,Medium-tall grassland,Ungrazed,Dry,2,750.1450791836385
4,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
4,Medium-tall grassland,Grazed,Dry,2,416.6968116326966
4,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
4,Medium-tall grassland,Grazed,Dry,2,305.547389115716
4,Tall grassland,Ungrazed,Dry,2,583.4209454081677
4,Tall grassland,Ungrazed,Dry,2,750.1450791836385
4,Tall grassland,Ungrazed,Dry,2,694.5703679251483
4,Tall grassland,Ungrazed,Dry,2,1250.3174805100512
4,Tall grassland,Grazed,Dry,2,305.547389115716
4,Tall grassland,Grazed,Dry,2,361.1221003742062
4,Tall grassland,Grazed,Dry,2,194.39796659873537
4,Tall grassland,Grazed,Dry,2,249.97267785722556
5,Short grassland,Ungrazed,Dry,2,138.82325534024494
5,Short grassland,Ungrazed,Dry,2,416.6968116326966
5,Short grassland,Ungrazed,Dry,2,194.39796659873537
5,Short grassland,Ungrazed,Dry,2,83.24854408175474
5,Short grassland,Grazed,Dry,2,83.24854408175474
5,Short grassland,Grazed,Dry,2,83.24854408175474
5,Short grassland,Grazed,Dry,2,27.67383282326432
5,Short grassland,Grazed,Dry,2,27.67383282326432
5,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
5,Medium-tall grassland,Ungrazed,Dry,2,694.5703679251483
5,Medium-tall grassland,Ungrazed,Dry,2,361.1221003742062
5,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
5,Medium-tall grassland,Grazed,Dry,2,249.97267785722556
5,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
5,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
5,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
5,Tall grassland,Ungrazed,Dry,2,1806.0645930949545
5,Tall grassland,Ungrazed,Dry,2,2973.133529523251
5,Tall grassland,Ungrazed,Dry,2,2361.811705679858
5,Tall grassland,Ungrazed,Dry,2,1861.639304353445
5,Tall grassland,Grazed,Dry,2,750.1450791836385
5,Tall grassland,Grazed,Dry,2,1028.01863547609
5,Tall grassland,Grazed,Dry,2,2917.5588182647607
5,Tall grassland,Grazed,Dry,2,3417.7312195911736
6,Short grassland,Ungrazed,Dry,2,83.24854408175474
6,Short grassland,Ungrazed,Dry,2,194.39796659873537
6,Short grassland,Ungrazed,Dry,2,249.97267785722556
6,Short grassland,Ungrazed,Dry,2,361.1221003742062
6,Short grassland,Grazed,Dry,2,27.67383282326432
6,Short grassland,Grazed,Dry,2,27.67383282326432
6,Short grassland,Grazed,Dry,2,83.24854408175474
6,Short grassland,Grazed,Dry,2,83.24854408175474
6,Medium-tall grassland,Ungrazed,Dry,2,305.547389115716
6,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
6,Medium-tall grassland,Ungrazed,Dry,2,527.8462341496772
6,Medium-tall grassland,Ungrazed,Dry,2,805.7197904421287
6,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
6,Medium-tall grassland,Grazed,Dry,2,83.24854408175474
6,Medium-tall grassland,Grazed,Dry,2,638.9956566666579
6,Medium-tall grassland,Grazed,Dry,2,361.1221003742062
6,Tall grassland,Ungrazed,Dry,2,583.4209454081677
6,Tall grassland,Ungrazed,Dry,2,1250.3174805100512
6,Tall grassland,Ungrazed,Dry,2,1861.639304353445
6,Tall grassland,Ungrazed,Dry,2,2639.6852619723095
6,Tall grassland,Grazed,Dry,2,861.2945017006191
6,Tall grassland,Grazed,Dry,2,527.8462341496772
6,Tall grassland,Grazed,Dry,2,2361.811705679858
6,Tall grassland,Grazed,Dry,2,2083.938149387406
7,Short grassland,Ungrazed,Dry,2,138.82325534024494
7,Short grassland,Ungrazed,Dry,2,249.97267785722556
7,Short grassland,Ungrazed,Dry,2,83.24854408175474
7,Short grassland,Ungrazed,Dry,2,27.67383282326432
7,Short grassland,Grazed,Dry,2,194.39796659873537
7,Short grassland,Grazed,Dry,2,83.24854408175474
7,Short grassland,Grazed,Dry,2,27.67383282326432
7,Short grassland,Grazed,Dry,2,27.67383282326432
7,Medium-tall grassland,Ungrazed,Dry,2,527.8462341496772
7,Medium-tall grassland,Ungrazed,Dry,2,361.1221003742062
7,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
7,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
7,Medium-tall grassland,Grazed,Dry,2,416.6968116326966
7,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
7,Medium-tall grassland,Grazed,Dry,2,83.24854408175474
7,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
7,Tall grassland,Ungrazed,Dry,2,805.7197904421287
7,Tall grassland,Ungrazed,Dry,2,1583.7657480609932
7,Tall grassland,Ungrazed,Dry,2,1694.915170577974
7,Tall grassland,Ungrazed,Dry,2,1361.466903027032
7,Tall grassland,Grazed,Dry,2,638.9956566666579
7,Tall grassland,Grazed,Dry,2,472.2715228911868
7,Tall grassland,Grazed,Dry,2,2083.938149387406
7,Tall grassland,Grazed,Dry,2,194.39796659873537
8,Short grassland,Ungrazed,Dry,2,138.82325534024494
8,Short grassland,Ungrazed,Dry,2,138.82325534024494
8,Short grassland,Ungrazed,Dry,2,194.39796659873537
8,Short grassland,Ungrazed,Dry,2,249.97267785722556
8,Short grassland,Grazed,Dry,2,27.67383282326432
8,Short grassland,Grazed,Dry,2,194.39796659873537
8,Short grassland,Grazed,Dry,2,27.67383282326432
8,Short grassland,Grazed,Dry,2,-27.900878435225877
8,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
8,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
8,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
8,Medium-tall grassland,Ungrazed,Dry,2,694.5703679251483
8,Medium-tall grassland,Grazed,Dry,2,694.5703679251483
8,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
8,Medium-tall grassland,Grazed,Dry,2,138.82325534024494
8,Medium-tall grassland,Grazed,Dry,2,27.67383282326432
8,Tall grassland,Ungrazed,Dry,2,2639.6852619723095
8,Tall grassland,Ungrazed,Dry,2,3195.432374557213
8,Tall grassland,Ungrazed,Dry,2,2361.811705679858
8,Tall grassland,Ungrazed,Dry,2,1528.1910368025028
8,Tall grassland,Grazed,Dry,2,249.97267785722556
8,Tall grassland,Grazed,Dry,2,1083.5933467345803
8,Tall grassland,Grazed,Dry,2,750.1450791836385
8,Tall grassland,Grazed,Dry,2,916.8692129591095
9,Short grassland,Ungrazed,Dry,2,194.39796659873537
9,Short grassland,Ungrazed,Dry,2,249.97267785722556
9,Short grassland,Ungrazed,Dry,2,194.39796659873537
9,Short grassland,Ungrazed,Dry,2,138.82325534024494
9,Short grassland,Grazed,Dry,2,27.67383282326432
9,Short grassland,Grazed,Dry,2,27.67383282326432
9,Short grassland,Grazed,Dry,2,-27.900878435225877
9,Short grassland,Grazed,Dry,2,-27.900878435225877
9,Medium-tall grassland,Ungrazed,Dry,2,750.1450791836385
9,Medium-tall grassland,Ungrazed,Dry,2,472.2715228911868
9,Medium-tall grassland,Ungrazed,Dry,2,750.1450791836385
9,Medium-tall grassland,Ungrazed,Dry,2,805.7197904421287
9,Medium-tall grassland,Grazed,Dry,2,361.1221003742062
9,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
9,Medium-tall grassland,Grazed,Dry,2,194.39796659873537
9,Medium-tall grassland,Grazed,Dry,2,305.547389115716
9,Tall grassland,Ungrazed,Dry,2,1972.7887268704253
9,Tall grassland,Ungrazed,Dry,2,2306.2369944213674
9,Tall grassland,Ungrazed,Dry,2,2250.662283162877
9,Tall grassland,Ungrazed,Dry,2,1861.639304353445
9,Tall grassland,Grazed,Dry,2,1194.7427692515612
9,Tall grassland,Grazed,Dry,2,472.2715228911868
9,Tall grassland,Grazed,Dry,2,2195.0875719043866
9,Tall grassland,Grazed,Dry,2,472.2715228911868
10,Short grassland,Ungrazed,Dry,2,194.39796659873537
10,Short grassland,Ungrazed,Dry,2,249.97267785722556
10,Short grassland,Ungrazed,Dry,2,194.39796659873537
10,Short grassland,Ungrazed,Dry,2,249.97267785722556
10,Short grassland,Grazed,Dry,2,27.67383282326432
10,Short grassland,Grazed,Dry,2,83.24854408175474
10,Short grassland,Grazed,Dry,2,27.67383282326432
10,Short grassland,Grazed,Dry,2,27.67383282326432
10,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
10,Medium-tall grassland,Ungrazed,Dry,2,416.6968116326966
10,Medium-tall grassland,Ungrazed,Dry,2,361.1221003742062
10,Medium-tall grassland,Ungrazed,Dry,2,249.97267785722556
